nohup: ignoring input
range(0, 160)
Now: j= 34, i=178 | Poisson
Now: j= 34, i=179 | Poisson
Now: j= 34, i=180 | Poisson
Now: j= 34, i=181 | Poisson
Now: j= 34, i=182 | Poisson
Now: j= 34, i=183 | Poisson
Now: j= 34, i=184 | Poisson
Now: j= 34, i=185 | Poisson
Now: j= 34, i=186 | Poisson
Now: j= 34, i=187 | Poisson
Now: j= 34, i=188 | Poisson
Now: j= 34, i=189 | Poisson
Now: j= 34, i=201 | Poisson
Now: j= 34, i=202 | Poisson
Now: j= 34, i=203 | Poisson
Now: j= 34, i=204 | Poisson
Now: j= 34, i=205 | Poisson
Now: j= 35, i=115 | Poisson
Now: j= 35, i=116 | Poisson
Now: j= 35, i=117 | Poisson
Now: j= 35, i=118 | Poisson
Now: j= 35, i=119 | Poisson
Now: j= 35, i=120 | Poisson
Now: j= 35, i=121 | Poisson
Now: j= 35, i=122 | Poisson
Now: j= 35, i=123 | Poisson
Now: j= 35, i=124 | Poisson
Now: j= 35, i=125 | Poisson
Now: j= 35, i=126 | Poisson
Now: j= 35, i=127 | Poisson
Now: j= 35, i=128 | Poisson
Now: j= 35, i=129 | Poisson
Now: j= 35, i=130 | Poisson
Now: j= 35, i=131 | Poisson
Now: j= 35, i=132 | Poisson
Now: j= 35, i=133 | Poisson
Now: j= 35, i=134 | Poisson
Now: j= 35, i=135 | Poisson
Now: j= 35, i=136 | Poisson
Now: j= 35, i=137 | Poisson
Now: j= 35, i=138 | Poisson
Now: j= 35, i=139 | Poisson
Now: j= 35, i=140 | Poisson
Now: j= 35, i=141 | Poisson
Now: j= 35, i=142 | Poisson
Now: j= 35, i=143 | Poisson
Now: j= 35, i=144 | Poisson
Now: j= 35, i=145 | Poisson
Now: j= 35, i=146 | Poisson
Now: j= 35, i=147 | Poisson
Now: j= 35, i=148 | Poisson
Now: j= 35, i=149 | Poisson
Now: j= 35, i=150 | Poisson
Now: j= 35, i=151 | Poisson
Now: j= 35, i=152 | Poisson
Now: j= 35, i=153 | Poisson
Now: j= 35, i=154 | Poisson
Now: j= 35, i=155 | Poisson
Now: j= 35, i=156 | Poisson
Now: j= 35, i=157 | Poisson
Now: j= 35, i=158 | Poisson
Now: j= 35, i=159 | Poisson
Now: j= 35, i=160 | Poisson
Now: j= 35, i=161 | Poisson
Now: j= 35, i=162 | Poisson
Now: j= 35, i=163 | Poisson
Now: j= 35, i=164 | Poisson
Now: j= 35, i=165 | Poisson
Now: j= 35, i=166 | Poisson
Now: j= 35, i=167 | Poisson
Now: j= 35, i=168 | Poisson
Now: j= 35, i=169 | Poisson
Now: j= 35, i=170 | Poisson
Now: j= 35, i=171 | Poisson
Now: j= 35, i=172 | Poisson
Now: j= 35, i=173 | Poisson
Now: j= 35, i=174 | Poisson
Now: j= 35, i=175 | Poisson
Now: j= 35, i=176 | Poisson
Now: j= 35, i=177 | Poisson
Now: j= 35, i=178 | Poisson
Now: j= 35, i=179 | Poisson
Now: j= 35, i=180 | Poisson
Now: j= 35, i=181 | Poisson
Now: j= 35, i=182 | Poisson
Now: j= 35, i=183 | Poisson
Now: j= 35, i=184 | Poisson
Now: j= 35, i=185 | Poisson
Now: j= 35, i=186 | Poisson
Now: j= 35, i=187 | Poisson
Now: j= 35, i=188 | Poisson
Now: j= 35, i=189 | Poisson
Now: j= 35, i=190 | Poisson
Now: j= 35, i=201 | Poisson
Now: j= 35, i=202 | Poisson
Now: j= 35, i=203 | Poisson
Now: j= 35, i=204 | Poisson
Now: j= 35, i=205 | Poisson
Now: j= 36, i=111 | Poisson
Now: j= 36, i=112 | Poisson
Now: j= 36, i=113 | Poisson
Now: j= 36, i=114 | Poisson
Now: j= 36, i=116 | Poisson
Now: j= 36, i=117 | Poisson
Now: j= 36, i=118 | Poisson
Now: j= 36, i=119 | Poisson
Now: j= 36, i=120 | Poisson
Now: j= 36, i=121 | Poisson
Now: j= 36, i=122 | Poisson
Now: j= 36, i=123 | Poisson
Now: j= 36, i=124 | Poisson
Now: j= 36, i=125 | Poisson
Now: j= 36, i=126 | Poisson
Now: j= 36, i=127 | Poisson
Now: j= 36, i=128 | Poisson
Now: j= 36, i=129 | Poisson
Now: j= 36, i=130 | Poisson
Now: j= 36, i=131 | Poisson
Now: j= 36, i=132 | Poisson
Now: j= 36, i=133 | Poisson
Now: j= 36, i=134 | Poisson
Now: j= 36, i=135 | Poisson
Now: j= 36, i=136 | Poisson
Now: j= 36, i=137 | Poisson
Now: j= 36, i=138 | Poisson
Now: j= 36, i=139 | Poisson
Now: j= 36, i=140 | Poisson
Now: j= 36, i=141 | Poisson
Now: j= 36, i=142 | Poisson
Now: j= 36, i=143 | Poisson
Now: j= 36, i=144 | Poisson
Now: j= 36, i=145 | Poisson
Now: j= 36, i=146 | Poisson
Now: j= 36, i=147 | Poisson
Now: j= 36, i=148 | Poisson
Now: j= 36, i=149 | Poisson
Now: j= 36, i=150 | Poisson
Now: j= 36, i=151 | Poisson
Now: j= 36, i=152 | Poisson
Now: j= 36, i=153 | Poisson
Now: j= 36, i=154 | Poisson
Now: j= 36, i=155 | Poisson
Now: j= 36, i=156 | Poisson
Now: j= 36, i=157 | Poisson
Now: j= 36, i=158 | Poisson
Now: j= 36, i=159 | Poisson
Now: j= 36, i=160 | Poisson
Now: j= 36, i=161 | Poisson
Now: j= 36, i=162 | Poisson
Now: j= 36, i=163 | Poisson
Now: j= 36, i=164 | Poisson
Now: j= 36, i=165 | Poisson
Now: j= 36, i=166 | Poisson
Now: j= 36, i=167 | Poisson
Now: j= 36, i=168 | Poisson
Now: j= 36, i=169 | Poisson
Now: j= 36, i=170 | Poisson
Now: j= 36, i=171 | Poisson
Now: j= 36, i=172 | Poisson
Now: j= 36, i=173 | Poisson
Now: j= 36, i=174 | Poisson
Now: j= 36, i=175 | Poisson
Now: j= 36, i=176 | Poisson
Now: j= 36, i=177 | Poisson
Now: j= 36, i=178 | Poisson
Now: j= 36, i=179 | Poisson
Now: j= 36, i=180 | Poisson
Now: j= 36, i=181 | Poisson
Now: j= 36, i=182 | Poisson
Now: j= 36, i=183 | Poisson
Now: j= 36, i=184 | Poisson
Now: j= 36, i=185 | Poisson
Now: j= 36, i=186 | Poisson
Now: j= 36, i=187 | Poisson
Now: j= 36, i=188 | Poisson
Now: j= 36, i=189 | Poisson
Now: j= 36, i=190 | Poisson
Now: j= 36, i=191 | Poisson
Now: j= 36, i=202 | Poisson
Now: j= 36, i=203 | Poisson
Now: j= 36, i=204 | Poisson
Now: j= 36, i=205 | Poisson
Now: j= 36, i=206 | Poisson
Now: j= 37, i=111 | Poisson
Now: j= 37, i=112 | Poisson
Now: j= 37, i=113 | Poisson
Now: j= 37, i=114 | Poisson
Now: j= 37, i=115 | Poisson
Now: j= 37, i=116 | Poisson
Now: j= 37, i=117 | Poisson
Now: j= 37, i=118 | Poisson
Now: j= 37, i=119 | Poisson
Now: j= 37, i=120 | Poisson
Now: j= 37, i=121 | Poisson
Now: j= 37, i=122 | Poisson
Now: j= 37, i=123 | Poisson
Now: j= 37, i=124 | Poisson
Now: j= 37, i=125 | Poisson
Now: j= 37, i=126 | Poisson
Now: j= 37, i=127 | Poisson
Now: j= 37, i=128 | Poisson
Now: j= 37, i=129 | Poisson
Now: j= 37, i=130 | Poisson
Now: j= 37, i=131 | Poisson
Now: j= 37, i=132 | Poisson
Now: j= 37, i=133 | Poisson
Now: j= 37, i=134 | Poisson
Now: j= 37, i=135 | Poisson
Now: j= 37, i=136 | Poisson
Now: j= 37, i=137 | Poisson
Now: j= 37, i=138 | Poisson
Now: j= 37, i=139 | Poisson
Now: j= 37, i=140 | Poisson
Now: j= 37, i=141 | Poisson
Now: j= 37, i=142 | Poisson
Now: j= 37, i=143 | Poisson
Now: j= 37, i=144 | Poisson
Now: j= 37, i=145 | Poisson
Now: j= 37, i=146 | Poisson
Now: j= 37, i=147 | Poisson
Now: j= 37, i=148 | Poisson
Now: j= 37, i=149 | Poisson
Now: j= 37, i=150 | Poisson
Now: j= 37, i=151 | Poisson
Now: j= 37, i=152 | Poisson
Now: j= 37, i=153 | Poisson
Now: j= 37, i=154 | Poisson
Now: j= 37, i=155 | Poisson
Now: j= 37, i=156 | Poisson
Now: j= 37, i=157 | Poisson
Now: j= 37, i=158 | Poisson
Now: j= 37, i=159 | Poisson
Now: j= 37, i=160 | Poisson
Now: j= 37, i=161 | Poisson
Now: j= 37, i=162 | Poisson
Now: j= 37, i=163 | Poisson
Now: j= 37, i=164 | Poisson
Now: j= 37, i=165 | Poisson
Now: j= 37, i=166 | Poisson
Now: j= 37, i=167 | Poisson
Now: j= 37, i=168 | Poisson
Now: j= 37, i=169 | Poisson
Now: j= 37, i=170 | Poisson
Now: j= 37, i=171 | Poisson
Now: j= 37, i=172 | Poisson
Now: j= 37, i=173 | Poisson
Now: j= 37, i=174 | Poisson
Now: j= 37, i=175 | Poisson
Now: j= 37, i=176 | Poisson
Now: j= 37, i=177 | Poisson
Now: j= 37, i=178 | Poisson
Now: j= 37, i=179 | Poisson
Now: j= 37, i=180 | Poisson
Now: j= 37, i=181 | Poisson
Now: j= 37, i=182 | Poisson
Now: j= 37, i=183 | Poisson
Now: j= 37, i=184 | Poisson
Now: j= 37, i=185 | Poisson
Now: j= 37, i=186 | Poisson
Now: j= 37, i=187 | Poisson
Now: j= 37, i=188 | Poisson
